armas_medios,cantidad,departamento,municipio,genero,grupo_etario
DESCONOCIDA,1,TOLIMA,IBAGUÉ (CT),FEMENINO,ADULTOS
ARMA BLANCA,1,NARIÑO,PASTO (CT),FEMENINO,ADULTOS
DESCONOCIDA,1,CESAR,VALLEDUPAR (CT),FEMENINO,ADULTOS
ARMA BLANCA,1,VALLE DEL CAUCA,CALI (CT),MASCULINO,ADULTOS
DESCONOCIDA,1,SANTAFE DE BOGOTA D.C,BOGOTÁ D.C. (CT),FEMENINO,ADULTOS
ARMA DE FUEGO,1,NORTE DE SANTANDER,RAGONVALIA,FEMENINO,ADULTOS
DESCONOCIDA,1,SANTAFE DE BOGOTA D.C,BOGOTÁ D.C. (CT),FEMENINO,ADOLESCENTES
ARMA BLANCA,1,BOLIVAR,TURBACO,FEMENINO,ADULTOS
ARMA BLANCA,1,BOLIVAR,CARTAGENA (CT),FEMENINO,ADULTOS
DESCONOCIDA,1,MAGDALENA,SANTA MARTA (CT),FEMENINO,ADULTOS
ARMA BLANCA,1,CESAR,VALLEDUPAR (CT),MASCULINO,ADULTOS
ARMA BLANCA,1,HUILA,NEIVA (CT),MASCULINO,ADULTOS
ARMA BLANCA,1,META,VILLAVICENCIO (CT),FEMENINO,ADULTOS
ARMA BLANCA,1,SANTAFE DE BOGOTA D.C,BOGOTÁ D.C. (CT),MASCULINO,ADULTOS
ARMA BLANCA,1,ANTIOQUIA,BELLO,FEMENINO,ADULTOS
SIN EMPLEO DE ARMAS,1,META,PUERTO GAITÁN,FEMENINO,ADULTOS
ARMA BLANCA,1,CASANARE,YOPAL (CT),MASCULINO,ADULTOS
ARMA BLANCA,1,ATLANTICO,BARRANQUILLA (CT),MASCULINO,ADULTOS
ARMA BLANCA,1,CAUCA,SANTANDER DE QUILICHAO,FEMENINO,ADULTOS
DESCONOCIDA,1,SANTAFE DE BOGOTA D.C,BOGOTÁ D.C. (CT),MASCULINO,ADULTOS
DESCONOCIDA,1,SANTAFE DE BOGOTA D.C,BOGOTÁ D.C. (CT),FEMENINO,ADULTOS
ARMA BLANCA,1,BOYACA,TUNJA (CT),FEMENINO,ADOLESCENTES
SIN EMPLEO DE ARMAS,1,NARIÑO,IPIALES,FEMENINO,ADULTOS
ARMA BLANCA,1,SANTANDER,BARRANCABERMEJA,FEMENINO,ADULTOS
DESCONOCIDA,1,SANTAFE DE BOGOTA D.C,BOGOTÁ D.C. (CT),FEMENINO,MENORES
DESCONOCIDA,1,SANTAFE DE BOGOTA D.C,BOGOTÁ D.C. (CT),MASCULINO,ADULTOS
ARMA BLANCA,1,HUILA,NEIVA (CT),FEMENINO,ADULTOS
ARMA BLANCA,1,ANTIOQUIA,MEDELLÍN (CT),FEMENINO,ADULTOS
ARMA BLANCA,1,MAGDALENA,SANTA MARTA (CT),FEMENINO,ADULTOS
DESCONOCIDA,1,CUNDINAMARCA,SOACHA,FEMENINO,ADULTOS
DESCONOCIDA,1,SANTAFE DE BOGOTA D.C,BOGOTÁ D.C. (CT),FEMENINO,ADULTOS
ARMA BLANCA,1,TOLIMA,CAJAMARCA,FEMENINO,ADULTOS
ARMA BLANCA,1,BOYACA,DUITAMA,FEMENINO,ADULTOS
ARMA BLANCA,1,ANTIOQUIA,MEDELLÍN (CT),FEMENINO,ADULTOS
DESCONOCIDA,1,PUTUMAYO,PUERTO LEGUÍZAMO,MASCULINO,ADULTOS
ARMA BLANCA,1,CUNDINAMARCA,ZIPAQUIRÁ,FEMENINO,ADULTOS
ARMA BLANCA,1,CORDOBA,PUERTO LIBERTADOR,FEMENINO,ADULTOS
DESCONOCIDA,1,SANTAFE DE BOGOTA D.C,BOGOTÁ D.C. (CT),FEMENINO,ADULTOS
ARMA BLANCA,1,ATLANTICO,BARRANQUILLA (CT),FEMENINO,ADULTOS
ARMA BLANCA,1,ANTIOQUIA,MEDELLÍN (CT),FEMENINO,ADULTOS
DESCONOCIDA,1,SANTAFE DE BOGOTA D.C,BOGOTÁ D.C. (CT),MASCULINO,ADULTOS
ARMA BLANCA,1,RISARALDA,DOSQUEBRADAS,FEMENINO,ADULTOS
ARMA BLANCA,1,SANTAFE DE BOGOTA D.C,BOGOTÁ D.C. (CT),FEMENINO,ADULTOS
ARMA BLANCA,1,VALLE DEL CAUCA,CALI (CT),MASCULINO,ADULTOS
DESCONOCIDA,1,CUNDINAMARCA,CHÍA,FEMENINO,ADULTOS
DESCONOCIDA,1,SANTAFE DE BOGOTA D.C,BOGOTÁ D.C. (CT),MASCULINO,MENORES
SIN EMPLEO DE ARMAS,1,SANTAFE DE BOGOTA D.C,BOGOTÁ D.C. (CT),MASCULINO,ADULTOS
ARMA BLANCA,1,META,VILLAVICENCIO (CT),FEMENINO,ADULTOS
ARMA BLANCA,1,ANTIOQUIA,MEDELLÍN (CT),FEMENINO,ADULTOS
SIN EMPLEO DE ARMAS,1,ANTIOQUIA,MEDELLÍN (CT),FEMENINO,ADULTOS
ARMA BLANCA,2,SANTAFE DE BOGOTA D.C,BOGOTÁ D.C. (CT),FEMENINO,ADULTOS
ARMA BLANCA,1,ANTIOQUIA,NECHÍ,FEMENINO,ADULTOS
ARMA BLANCA,1,HUILA,PITALITO,FEMENINO,ADULTOS
ARMA BLANCA,1,BOYACA,TUNJA (CT),FEMENINO,ADULTOS
DESCONOCIDA,1,SANTAFE DE BOGOTA D.C,BOGOTÁ D.C. (CT),FEMENINO,ADULTOS
DESCONOCIDA,1,SANTAFE DE BOGOTA D.C,BOGOTÁ D.C. (CT),FEMENINO,ADULTOS
SIN EMPLEO DE ARMAS,1,CAUCA,POPAYÁN (CT),FEMENINO,ADULTOS
ARMA BLANCA,1,ANTIOQUIA,MEDELLÍN (CT),FEMENINO,ADULTOS
DESCONOCIDA,1,SANTAFE DE BOGOTA D.C,BOGOTÁ D.C. (CT),FEMENINO,ADULTOS
SIN EMPLEO DE ARMAS,1,PUTUMAYO,PUERTO ASÍS,FEMENINO,ADULTOS
DESCONOCIDA,1,SANTAFE DE BOGOTA D.C,BOGOTÁ D.C. (CT),MASCULINO,ADULTOS
SIN EMPLEO DE ARMAS,1,SANTAFE DE BOGOTA D.C,BOGOTÁ D.C. (CT),FEMENINO,ADULTOS
ARMA BLANCA,1,SANTANDER,GIRÓN,FEMENINO,ADULTOS
ARMA BLANCA,1,ANTIOQUIA,MEDELLÍN (CT),FEMENINO,ADULTOS
ARMA BLANCA,1,ANTIOQUIA,MEDELLÍN (CT),FEMENINO,ADULTOS
ARMA BLANCA,1,SANTANDER,SOCORRO,FEMENINO,ADULTOS
DESCONOCIDA,1,CUNDINAMARCA,MADRID,FEMENINO,ADULTOS
DESCONOCIDA,1,SANTAFE DE BOGOTA D.C,BOGOTÁ D.C. (CT),MASCULINO,ADULTOS
DESCONOCIDA,1,SANTAFE DE BOGOTA D.C,BOGOTÁ D.C. (CT),FEMENINO,ADULTOS
DESCONOCIDA,1,NARIÑO,PASTO (CT),MASCULINO,ADULTOS
ARMA BLANCA,1,ANTIOQUIA,MEDELLÍN (CT),FEMENINO,ADULTOS
ARMA BLANCA,1,SANTANDER,SAN GIL,MASCULINO,ADULTOS
ARMA BLANCA,1,SANTANDER,SAN GIL,FEMENINO,ADULTOS
DESCONOCIDA,1,TOLIMA,ESPINAL,FEMENINO,ADULTOS
ARMA BLANCA,1,ANTIOQUIA,MEDELLÍN (CT),FEMENINO,ADULTOS
ARMA BLANCA,1,BOLIVAR,CARTAGENA (CT),FEMENINO,ADULTOS
ARMA BLANCA,1,ATLANTICO,BARRANQUILLA (CT),FEMENINO,ADULTOS
DESCONOCIDA,1,SANTAFE DE BOGOTA D.C,BOGOTÁ D.C. (CT),FEMENINO,ADULTOS
ARMA BLANCA,1,ANTIOQUIA,BELLO,FEMENINO,ADULTOS
ARMA BLANCA,1,ANTIOQUIA,MEDELLÍN (CT),FEMENINO,ADULTOS
ARMA BLANCA,1,ANTIOQUIA,ENVIGADO,FEMENINO,ADULTOS
ARMA BLANCA,1,ANTIOQUIA,MEDELLÍN (CT),FEMENINO,ADULTOS
DESCONOCIDA,1,CUNDINAMARCA,CHÍA,MASCULINO,ADULTOS
DESCONOCIDA,1,SANTAFE DE BOGOTA D.C,BOGOTÁ D.C. (CT),FEMENINO,ADULTOS
ARMA BLANCA,1,VALLE DEL CAUCA,CALI (CT),FEMENINO,ADULTOS
DESCONOCIDA,1,SANTAFE DE BOGOTA D.C,BOGOTÁ D.C. (CT),FEMENINO,ADULTOS
ARMA BLANCA,3,MAGDALENA,SANTA MARTA (CT),FEMENINO,ADULTOS
ARMA BLANCA,1,BOLIVAR,CARTAGENA (CT),FEMENINO,ADULTOS
ARMA BLANCA,1,SANTANDER,BUCARAMANGA (CT),FEMENINO,ADULTOS
ARMA BLANCA,1,VALLE DEL CAUCA,CALI (CT),FEMENINO,ADULTOS
ARMA BLANCA,1,VALLE DEL CAUCA,CALI (CT),FEMENINO,ADULTOS
DESCONOCIDA,1,CUNDINAMARCA,SOACHA,MASCULINO,ADULTOS
ARMA BLANCA,2,BOLIVAR,CARTAGENA (CT),FEMENINO,ADULTOS
ARMA BLANCA,1,VALLE DEL CAUCA,CALI (CT),FEMENINO,ADULTOS
SIN EMPLEO DE ARMAS,1,ANTIOQUIA,MEDELLÍN (CT),FEMENINO,ADULTOS
DESCONOCIDA,1,CUNDINAMARCA,SOACHA,FEMENINO,ADULTOS
ARMA BLANCA,7,ANTIOQUIA,MEDELLÍN (CT),FEMENINO,ADULTOS
DESCONOCIDA,1,SANTAFE DE BOGOTA D.C,BOGOTÁ D.C. (CT),FEMENINO,ADULTOS
ARMA BLANCA,1,TOLIMA,IBAGUÉ (CT),FEMENINO,ADULTOS
ARMA BLANCA,1,BOYACA,TUNJA (CT),FEMENINO,ADULTOS
DESCONOCIDA,1,SANTAFE DE BOGOTA D.C,BOGOTÁ D.C. (CT),MASCULINO,MENORES
DESCONOCIDA,1,SANTAFE DE BOGOTA D.C,BOGOTÁ D.C. (CT),MASCULINO,ADULTOS
ARMA BLANCA,1,MAGDALENA,SANTA MARTA (CT),FEMENINO,ADULTOS
ARMA BLANCA,1,NORTE DE SANTANDER,CÚCUTA (CT),FEMENINO,ADULTOS
ARMA BLANCA,1,SANTAFE DE BOGOTA D.C,BOGOTÁ D.C. (CT),MASCULINO,ADULTOS
ARMA BLANCA,2,QUINDIO,ARMENIA (CT),FEMENINO,ADULTOS
ARMA BLANCA,1,ANTIOQUIA,MEDELLÍN (CT),FEMENINO,ADULTOS
DESCONOCIDA,1,SANTAFE DE BOGOTA D.C,BOGOTÁ D.C. (CT),FEMENINO,ADULTOS
ARMA BLANCA,1,VALLE DEL CAUCA,CALI (CT),FEMENINO,ADULTOS
DESCONOCIDA,1,SANTAFE DE BOGOTA D.C,BOGOTÁ D.C. (CT),FEMENINO,ADULTOS
ARMA BLANCA,1,RISARALDA,DOSQUEBRADAS,FEMENINO,ADULTOS
ARMA BLANCA,1,ANTIOQUIA,BELLO,FEMENINO,ADULTOS
DESCONOCIDA,1,SANTAFE DE BOGOTA D.C,BOGOTÁ D.C. (CT),FEMENINO,ADULTOS
ARMA BLANCA,1,META,VILLAVICENCIO (CT),FEMENINO,ADULTOS
ARMA BLANCA,8,SANTAFE DE BOGOTA D.C,BOGOTÁ D.C. (CT),FEMENINO,ADULTOS
DESCONOCIDA,3,SANTAFE DE BOGOTA D.C,BOGOTÁ D.C. (CT),FEMENINO,ADULTOS
ARMA BLANCA,1,RISARALDA,PEREIRA (CT),FEMENINO,ADULTOS
SIN EMPLEO DE ARMAS,1,SANTAFE DE BOGOTA D.C,BOGOTÁ D.C. (CT),FEMENINO,ADULTOS
DESCONOCIDA,1,SANTAFE DE BOGOTA D.C,BOGOTÁ D.C. (CT),MASCULINO,ADULTOS
ARMA BLANCA,1,MAGDALENA,SANTA MARTA (CT),FEMENINO,ADULTOS
SIN EMPLEO DE ARMAS,1,SANTAFE DE BOGOTA D.C,BOGOTÁ D.C. (CT),MASCULINO,ADULTOS
ARMA BLANCA,1,ANTIOQUIA,RIONEGRO,FEMENINO,ADULTOS
DESCONOCIDA,1,NORTE DE SANTANDER,CÚCUTA (CT),FEMENINO,ADULTOS
DESCONOCIDA,1,SANTAFE DE BOGOTA D.C,BOGOTÁ D.C. (CT),FEMENINO,ADULTOS
ARMA BLANCA,1,BOLIVAR,CARTAGENA (CT),FEMENINO,ADULTOS
DESCONOCIDA,1,SANTAFE DE BOGOTA D.C,BOGOTÁ D.C. (CT),FEMENINO,ADULTOS
DESCONOCIDA,1,SANTAFE DE BOGOTA D.C,BOGOTÁ D.C. (CT),FEMENINO,MENORES
ARMA BLANCA,1,NARIÑO,PASTO (CT),FEMENINO,ADULTOS
ARMA BLANCA,1,SANTANDER,BUCARAMANGA (CT),MASCULINO,ADULTOS
DESCONOCIDA,1,SANTAFE DE BOGOTA D.C,BOGOTÁ D.C. (CT),FEMENINO,ADULTOS
ARMA BLANCA,1,ATLANTICO,BARRANQUILLA (CT),FEMENINO,ADULTOS
ARMA BLANCA,1,HUILA,PITALITO,FEMENINO,ADULTOS
SIN EMPLEO DE ARMAS,1,SANTAFE DE BOGOTA D.C,BOGOTÁ D.C. (CT),FEMENINO,ADULTOS
DESCONOCIDA,1,SANTAFE DE BOGOTA D.C,BOGOTÁ D.C. (CT),FEMENINO,ADULTOS
ARMA BLANCA,1,ANTIOQUIA,MEDELLÍN (CT),FEMENINO,ADULTOS
ARMA BLANCA,1,SANTAFE DE BOGOTA D.C,BOGOTÁ D.C. (CT),FEMENINO,ADULTOS
ARMA BLANCA,1,HUILA,NEIVA (CT),FEMENINO,ADULTOS
DESCONOCIDA,2,SANTAFE DE BOGOTA D.C,BOGOTÁ D.C. (CT),FEMENINO,MENORES
ARMA BLANCA,1,ANTIOQUIA,MEDELLÍN (CT),FEMENINO,ADULTOS
DESCONOCIDA,1,SANTAFE DE BOGOTA D.C,BOGOTÁ D.C. (CT),FEMENINO,ADULTOS
ARMA BLANCA,1,BOLIVAR,CARTAGENA (CT),FEMENINO,ADULTOS
DESCONOCIDA,1,SANTAFE DE BOGOTA D.C,BOGOTÁ D.C. (CT),FEMENINO,ADULTOS
DESCONOCIDA,1,SANTAFE DE BOGOTA D.C,BOGOTÁ D.C. (CT),MASCULINO,ADULTOS
SIN EMPLEO DE ARMAS,1,SANTAFE DE BOGOTA D.C,BOGOTÁ D.C. (CT),MASCULINO,ADULTOS
DESCONOCIDA,1,SANTANDER,BARRANCABERMEJA,FEMENINO,ADULTOS
ARMA BLANCA,1,VALLE DEL CAUCA,CALI (CT),FEMENINO,MENORES
ARMA BLANCA,1,BOYACA,SOGAMOSO,FEMENINO,ADULTOS
ARMA BLANCA,1,SANTAFE DE BOGOTA D.C,BOGOTÁ D.C. (CT),FEMENINO,ADULTOS
DESCONOCIDA,1,SANTAFE DE BOGOTA D.C,BOGOTÁ D.C. (CT),FEMENINO,ADULTOS
DESCONOCIDA,1,NARIÑO,PASTO (CT),FEMENINO,ADULTOS
ARMA BLANCA,1,SANTAFE DE BOGOTA D.C,BOGOTÁ D.C. (CT),FEMENINO,ADULTOS
ARMA BLANCA,1,ANTIOQUIA,MEDELLÍN (CT),FEMENINO,ADULTOS
DESCONOCIDA,1,SANTAFE DE BOGOTA D.C,BOGOTÁ D.C. (CT),FEMENINO,ADULTOS
DESCONOCIDA,1,SANTAFE DE BOGOTA D.C,BOGOTÁ D.C. (CT),FEMENINO,ADULTOS
SIN EMPLEO DE ARMAS,1,BOLIVAR,CARTAGENA (CT),FEMENINO,ADULTOS
DESCONOCIDA,1,SANTAFE DE BOGOTA D.C,BOGOTÁ D.C. (CT),FEMENINO,ADULTOS
DESCONOCIDA,1,SANTAFE DE BOGOTA D.C,BOGOTÁ D.C. (CT),FEMENINO,ADULTOS
ARMA BLANCA,1,ANTIOQUIA,MEDELLÍN (CT),MASCULINO,ADULTOS
DESCONOCIDA,2,SANTAFE DE BOGOTA D.C,BOGOTÁ D.C. (CT),FEMENINO,ADULTOS
ARMA BLANCA,1,SANTANDER,BUCARAMANGA (CT),FEMENINO,ADULTOS
ARMA BLANCA,6,SANTAFE DE BOGOTA D.C,BOGOTÁ D.C. (CT),FEMENINO,ADULTOS
ARMA BLANCA,1,VALLE DEL CAUCA,CALI (CT),FEMENINO,ADULTOS
ARMA BLANCA,1,CUNDINAMARCA,SOACHA,FEMENINO,ADULTOS
ARMA BLANCA,1,NORTE DE SANTANDER,LOS PATIOS,FEMENINO,ADULTOS
SIN EMPLEO DE ARMAS,1,SANTAFE DE BOGOTA D.C,BOGOTÁ D.C. (CT),MASCULINO,ADULTOS
DESCONOCIDA,1,SANTAFE DE BOGOTA D.C,BOGOTÁ D.C. (CT),MASCULINO,MENORES
DESCONOCIDA,2,SANTAFE DE BOGOTA D.C,BOGOTÁ D.C. (CT),FEMENINO,ADULTOS
DESCONOCIDA,1,SANTAFE DE BOGOTA D.C,BOGOTÁ D.C. (CT),FEMENINO,ADULTOS
SIN EMPLEO DE ARMAS,1,SANTANDER,BUCARAMANGA (CT),FEMENINO,ADULTOS
ARMA BLANCA,1,META,VILLAVICENCIO (CT),FEMENINO,ADULTOS
ARMA BLANCA,1,SANTAFE DE BOGOTA D.C,BOGOTÁ D.C. (CT),FEMENINO,ADULTOS
DESCONOCIDA,1,SANTAFE DE BOGOTA D.C,BOGOTÁ D.C. (CT),MASCULINO,ADULTOS
DESCONOCIDA,1,SANTAFE DE BOGOTA D.C,BOGOTÁ D.C. (CT),MASCULINO,ADULTOS
ARMA BLANCA,1,ATLANTICO,BARRANQUILLA (CT),FEMENINO,ADULTOS
DESCONOCIDA,1,SANTAFE DE BOGOTA D.C,BOGOTÁ D.C. (CT),MASCULINO,ADULTOS
DESCONOCIDA,2,SANTAFE DE BOGOTA D.C,BOGOTÁ D.C. (CT),MASCULINO,ADULTOS
SIN EMPLEO DE ARMAS,1,HUILA,NEIVA (CT),FEMENINO,ADULTOS
SIN EMPLEO DE ARMAS,1,CAUCA,EL TAMBO,FEMENINO,ADULTOS
ARMA BLANCA,1,QUINDIO,ARMENIA (CT),FEMENINO,ADULTOS
ARMA BLANCA,1,ANTIOQUIA,MEDELLÍN (CT),FEMENINO,ADULTOS
DESCONOCIDA,1,SANTAFE DE BOGOTA D.C,BOGOTÁ D.C. (CT),FEMENINO,MENORES
ARMA BLANCA,1,VALLE DEL CAUCA,CALI (CT),MASCULINO,ADULTOS
DESCONOCIDA,1,NORTE DE SANTANDER,CÚCUTA (CT),FEMENINO,ADULTOS
DESCONOCIDA,1,SANTAFE DE BOGOTA D.C,BOGOTÁ D.C. (CT),FEMENINO,ADULTOS
DESCONOCIDA,1,SANTAFE DE BOGOTA D.C,BOGOTÁ D.C. (CT),FEMENINO,ADULTOS
DESCONOCIDA,1,SANTAFE DE BOGOTA D.C,BOGOTÁ D.C. (CT),FEMENINO,ADULTOS
ARMA BLANCA,1,ANTIOQUIA,MEDELLÍN (CT),FEMENINO,ADULTOS
DESCONOCIDA,1,SANTAFE DE BOGOTA D.C,BOGOTÁ D.C. (CT),FEMENINO,ADULTOS
DESCONOCIDA,1,ANTIOQUIA,TURBO,FEMENINO,ADULTOS
DESCONOCIDA,1,SANTAFE DE BOGOTA D.C,BOGOTÁ D.C. (CT),FEMENINO,ADULTOS
ARMA BLANCA,1,SANTANDER,BUCARAMANGA (CT),FEMENINO,ADULTOS
ARMA BLANCA,1,CASANARE,YOPAL (CT),FEMENINO,ADULTOS
ARMA BLANCA,1,CORDOBA,CHINÚ,MASCULINO,ADULTOS
SIN EMPLEO DE ARMAS,1,SANTANDER,BARRANCABERMEJA,FEMENINO,ADULTOS
DESCONOCIDA,1,CESAR,VALLEDUPAR (CT),FEMENINO,ADULTOS
DESCONOCIDA,1,NORTE DE SANTANDER,CÚCUTA (CT),FEMENINO,ADULTOS
DESCONOCIDA,1,SANTAFE DE BOGOTA D.C,BOGOTÁ D.C. (CT),MASCULINO,ADULTOS
ARMA BLANCA,1,SANTAFE DE BOGOTA D.C,BOGOTÁ D.C. (CT),FEMENINO,ADULTOS
ARMA BLANCA,1,HUILA,NEIVA (CT),FEMENINO,ADULTOS
DESCONOCIDA,1,SANTAFE DE BOGOTA D.C,BOGOTÁ D.C. (CT),FEMENINO,MENORES
DESCONOCIDA,1,SANTAFE DE BOGOTA D.C,BOGOTÁ D.C. (CT),FEMENINO,ADULTOS
ARMA BLANCA,1,ANTIOQUIA,MEDELLÍN (CT),MASCULINO,ADULTOS
ARMA BLANCA,1,SANTANDER,FLORIDABLANCA,FEMENINO,ADULTOS
ARMA BLANCA,1,ANTIOQUIA,MEDELLÍN (CT),FEMENINO,ADULTOS
DESCONOCIDA,1,CUNDINAMARCA,CAJICÁ,MASCULINO,ADULTOS
SIN EMPLEO DE ARMAS,1,CUNDINAMARCA,SOACHA,FEMENINO,ADULTOS
ARMA BLANCA,1,META,ACACÍAS,FEMENINO,ADULTOS
DESCONOCIDA,1,SANTAFE DE BOGOTA D.C,BOGOTÁ D.C. (CT),FEMENINO,ADULTOS
ARMA BLANCA,1,RISARALDA,PEREIRA (CT),FEMENINO,ADULTOS
ARMA BLANCA,1,VALLE DEL CAUCA,CALI (CT),FEMENINO,ADULTOS
SIN EMPLEO DE ARMAS,1,CUNDINAMARCA,SOACHA,FEMENINO,ADULTOS
DESCONOCIDA,1,CUNDINAMARCA,SOACHA,FEMENINO,ADULTOS
SIN EMPLEO DE ARMAS,1,SANTAFE DE BOGOTA D.C,BOGOTÁ D.C. (CT),MASCULINO,ADULTOS
ARMA BLANCA,2,ANTIOQUIA,BELLO,FEMENINO,ADULTOS
DESCONOCIDA,1,SANTAFE DE BOGOTA D.C,BOGOTÁ D.C. (CT),FEMENINO,ADULTOS
ARMA BLANCA,1,VALLE DEL CAUCA,CALI (CT),FEMENINO,ADULTOS
ARMA BLANCA,1,HUILA,NEIVA (CT),MASCULINO,ADULTOS
DESCONOCIDA,1,CUNDINAMARCA,LA MESA,FEMENINO,ADULTOS
ARMA BLANCA,1,TOLIMA,IBAGUÉ (CT),FEMENINO,ADULTOS
ARMA BLANCA,1,CORDOBA,MONTERÍA (CT),FEMENINO,ADULTOS
DESCONOCIDA,1,SANTAFE DE BOGOTA D.C,BOGOTÁ D.C. (CT),FEMENINO,ADULTOS
ARMA BLANCA,1,ANTIOQUIA,MEDELLÍN (CT),MASCULINO,ADULTOS
ARMA BLANCA,1,CUNDINAMARCA,SOACHA,FEMENINO,ADULTOS
ARMA BLANCA,1,CORDOBA,MONTERÍA (CT),FEMENINO,ADULTOS
SIN EMPLEO DE ARMAS,2,SANTAFE DE BOGOTA D.C,BOGOTÁ D.C. (CT),FEMENINO,ADULTOS
ARMA BLANCA,1,SUCRE,SINCELEJO (CT),FEMENINO,ADULTOS
ARMA BLANCA,1,SANTANDER,SABANA DE TORRES,FEMENINO,MENORES
SIN EMPLEO DE ARMAS,1,CUNDINAMARCA,SOACHA,FEMENINO,ADULTOS
DESCONOCIDA,1,SANTAFE DE BOGOTA D.C,BOGOTÁ D.C. (CT),FEMENINO,ADULTOS
DESCONOCIDA,1,SANTAFE DE BOGOTA D.C,BOGOTÁ D.C. (CT),FEMENINO,ADULTOS
ARMA BLANCA,1,NARIÑO,PASTO (CT),FEMENINO,ADULTOS
ARMA BLANCA,1,ANTIOQUIA,MEDELLÍN (CT),MASCULINO,ADULTOS
ARMA BLANCA,1,ANTIOQUIA,MEDELLÍN (CT),FEMENINO,ADULTOS
